Source text — English,Translation — Italian,,,
%(clickHere) to adjust your stake,%(clickHere) aggiustare la puntata,,,
1. %(count) fold,1. %(count) fold,,,
2. %(count) folds,2. %(count) folds,,,
%(count) More Categories+,%(count) Più Categorie+,,,
%(count) More Locations+,%(count) Più Località+,,,
%(count) More Sports+,%(count) Più Sport+,,,
1. %(count) More Tournaments+,1. %(count) Più Tornei+,,,
2. %(count) More Tournaments+,2. %(count) Più Tornei+,,,
%(locationName) overview,%(locationName) Panoramica,,,
%(tournamentName) overview,%(tournamentName) Panoramica,,,
Accept any,Accetta tutto,,,
Accept changes,Accetta cambiamenti,,,
Accept higher,Accetta maggiore,,,
Accept lower,Accetta minore,,,
Accept none,Non accettare,,,
Add more selections for an odds boost bonus,Aggiungi più selezioni per un aumento bonus della quota,,,
Add picks back to betslip,Aggiungi le scelte alla scommessa,,,
Adjust stake,Aggiusta la puntata,,,
All,Tutto,,,
All sports,Tutti gli sport,,,
All your net winnings are taxed upon their settlement. The tax amount will be calculated depending on potential winnings on the bet.,Tutte le tue vincite nette vengono tassate al momento della loro liquidazione. L'importo dell'imposta verrà calcolato in base alle potenziali vincite sulla scommessa.,,,
At least one of your selection has an invalid stake,Almeno una delle tue selezioni ha una puntata non valida,,,
At least one of your selection is invalid,Almeno una delle tue selezioni non è valida,,,
Available free bet,Freebet disponibile,,,
1. Bet,1. Scommessa,,,
2. Bets,2. Scommesse,,,
Bet builder,Bet builder,,,
Bet details,Dettagli Scommessa,,,
Bet placement failed,Piazzamento scommessa fallito,,,
Bet successfully placed,Scommessa piazzata con successo,,,
Bet with stake %(betAmount)%(currencySymbol) was sent for manual approval,Scommessa con importo %(betAmount)%(currencySymbol) è stata inviata per approvazione manuale,,,
Betting History,Cronologia Scommesse,,,
Cancel Cash Out,Cancella Cash Out,,,
Cancelled,Cancellato,,,
Cash Out,Cash Out,,,
Cash Out %(value)%(currencySymbol),Cash Out %(value)%(currencySymbol),,,
Cash Out failed,Cash Out Fallito,,,
Cash Out successful. %(value)%(currencySymbol) added to your balance,Cash Out riuscito. %(value)%(currencySymbol) sono aggiunti al tuo bilancio,,,
Cashed Out,Incassato,,,
Clear,Pulisci,,,
Click here,Clicca Qui,,,
Close,Chiudi,,,
